split,pair_id,pair_order,error_cohort,target_role,cohort,selection_stratum,node_id,matched_node_id,label,predicted_class,fraud_logit,fraud_score,distance_to_threshold,in_degree,log1p_degree,sampled_event_count,score_bin,batch_key,match_score_bin_delta,match_score_delta,match_log1p_degree_delta,match_event_count_delta
validation,validation_fp_00,0,FP,error,FP,near_threshold,2364597,2789155,0,1,1.1384199857711792,0.7573894262313843,2.0265579223632812e-06,3,1.3862943611198906,3,7,validation_target_2364597,0,3.993511199951172e-06,0.0,0
validation,validation_fp_00,0,FP,control,TP,matched_near_threshold,2789155,2364597,1,1,1.138441801071167,0.7573934197425842,6.020069122314453e-06,3,1.3862943611198906,3,7,validation_target_2789155,0,3.993511199951172e-06,0.0,0
validation,validation_fp_01,1,FP,error,FP,near_threshold,1092145,1194485,0,1,1.1384395360946655,0.7573930025100708,5.602836608886719e-06,1,0.6931471805599453,1,7,validation_target_1092145,0,5.602836608886719e-06,0.0,0
validation,validation_fp_01,1,FP,control,TP,matched_near_threshold,1194485,1092145,1,1,1.13840913772583,0.7573873996734619,0.0,1,0.6931471805599453,1,7,validation_target_1194485,0,5.602836608886719e-06,0.0,0
validation,validation_fp_02,2,FP,error,FP,near_threshold,1035592,134632,0,1,1.1384449005126953,0.757394015789032,6.616115570068359e-06,1,0.6931471805599453,1,7,validation_target_1035592,0,6.520748138427734e-05,0.0,0
validation,validation_fp_02,2,FP,control,TP,matched_near_threshold,134632,1035592,1,1,1.1387996673583984,0.7574592232704163,7.18235969543457e-05,1,0.6931471805599453,1,7,validation_target_134632,0,6.520748138427734e-05,0.0,0
validation,validation_fp_03,3,FP,error,FP,near_threshold,482285,1743061,0,1,1.1384682655334473,0.7573983073234558,1.0907649993896484e-05,2,1.0986122886681098,2,7,validation_target_482285,0,0.0004970431327819824,0.0,0
validation,validation_fp_03,3,FP,control,TP,matched_near_threshold,1743061,482285,1,1,1.1411752700805664,0.7578953504562378,0.0005079507827758789,2,1.0986122886681098,2,7,validation_target_1743061,0,0.0004970431327819824,0.0,0
validation,validation_fp_04,4,FP,error,FP,near_threshold,1374234,1234024,0,1,1.1385031938552856,0.7574047446250916,1.7344951629638672e-05,1,0.6931471805599453,1,7,validation_target_1374234,0,0.0002307295799255371,0.0,0
validation,validation_fp_04,4,FP,control,TP,matched_near_threshold,1234024,1374234,1,1,1.1397591829299927,0.7576354742050171,0.0002480745315551758,1,0.6931471805599453,1,7,validation_target_1234024,0,0.0002307295799255371,0.0,0
validation,validation_fp_05,5,FP,error,FP,near_threshold,651117,1309216,0,1,1.1385140419006348,0.7574067115783691,1.9311904907226562e-05,1,0.6931471805599453,1,7,validation_target_651117,0,0.0003145933151245117,0.0,0
validation,validation_fp_05,5,FP,control,TP,matched_near_threshold,1309216,651117,1,1,1.1402268409729004,0.7577213048934937,0.0003339052200317383,1,0.6931471805599453,1,7,validation_target_1309216,0,0.0003145933151245117,0.0,0
validation,validation_fp_06,6,FP,error,FP,near_threshold,368964,2738229,0,1,1.1385374069213867,0.757411003112793,2.3603439331054688e-05,4,1.6094379124341003,4,7,validation_target_368964,0,0.0012381672859191895,0.0,0
validation,validation_fp_06,6,FP,control,TP,matched_near_threshold,2738229,368964,1,1,1.1452879905700684,0.7586491703987122,0.0012617707252502441,4,1.6094379124341003,4,7,validation_target_2738229,0,0.0012381672859191895,0.0,0
validation,validation_fp_07,7,FP,error,FP,near_threshold,1004383,450501,0,1,1.138580083847046,0.7574188709259033,3.147125244140625e-05,1,0.6931471805599453,1,7,validation_target_1004383,0,0.00041663646697998047,0.0,0
validation,validation_fp_07,7,FP,control,TP,matched_near_threshold,450501,1004383,1,1,1.140849232673645,0.7578355073928833,0.0004481077194213867,1,0.6931471805599453,1,7,validation_target_450501,0,0.00041663646697998047,0.0,0
validation,validation_fp_08,8,FP,error,FP,near_threshold,377095,2142847,0,1,1.138623833656311,0.7574268579483032,3.9458274841308594e-05,2,1.0986122886681098,2,7,validation_target_377095,0,0.0007877945899963379,0.0,0
validation,validation_fp_08,8,FP,control,TP,matched_near_threshold,2142847,377095,1,1,1.1429160833358765,0.7582146525382996,0.0008272528648376465,2,1.0986122886681098,2,7,validation_target_2142847,0,0.0007877945899963379,0.0,0
validation,validation_fp_09,9,FP,error,FP,near_threshold,1134810,732974,0,1,1.1386451721191406,0.7574307918548584,4.3392181396484375e-05,1,0.6931471805599453,1,7,validation_target_1134810,0,0.0004124641418457031,0.0,0
validation,validation_fp_09,9,FP,control,TP,matched_near_threshold,732974,1134810,1,1,1.140891432762146,0.7578432559967041,0.0004558563232421875,1,0.6931471805599453,1,7,validation_target_732974,0,0.0004124641418457031,0.0,0
validation,validation_fp_10,10,FP,error,FP,high_confidence,1942636,2961442,0,1,11.286685943603516,0.9999874830245972,0.24260008335113525,3,1.3862943611198906,3,9,validation_target_1942636,0,0.03139561414718628,0.0,0
