split,cohort,cohort_order,target_node_id,label,predicted_class,fraud_score,in_degree,community_id,community_size,community_risk,is_risky_community,community_train_fraud_lift,community_conductance,selected_internal_edge_ratio,selected_distinct_community_count,sampled_node_count,sampled_event_count,edge_explanation_unavailable,selected_edge_count,edge_sparsity,feature_sparsity,sufficiency_error,comprehensiveness,community_risk_feature_importance,community_risk_prior_logit_delta,community_risk_prior_fraud_score,community_risk_prior_score_delta,model_seed,explainer_seed,neighborhood_seed,explainer_config_id,stability_audited,explainer_seed_edge_jaccard_median,explainer_seed_node_jaccard_median,stability_passed,failure_flag,runtime_seconds,peak_rss_mib,edge_mask_max,random_sufficiency_error,random_comprehensiveness,degree_sufficiency_error,degree_comprehensiveness,recency_sufficiency_error,recency_comprehensiveness
test,high_score_fraud,0,2767067,1,1,0.9705528867949819,1,52,3882,3.0715558528900146,False,2.4313247036651293,0.008367707719505,1.0,1,2,1,False,1,0.0,0.8571428571428572,0.0,0.1192478657296353,0.6006132364273071,0.26274776458740234,0.9620399705335317,0.00851291626145012,42,42,42,epochs50_lr001_default,False,,,,False,0.19434830000682268,1797.88671875,0.23763880133628845,0.0,0.1192478657296353,0.0,0.1192478657296353,0.0,0.1192478657296353
test,high_score_fraud,1,2789400,1,1,0.9650746689523217,2,54,4424,8.292803764343262,True,4.864312420123463,0.0094560244026436,1.0,1,3,2,False,1,0.5,0.8571428571428572,0.0035363128221260753,0.003992314220920612,0.6118029356002808,0.7112326622009277,0.9313593607781354,0.03371530817418633,42,42,42,epochs50_lr001_default,False,,,,False,0.20019540000066627,1797.7109375,0.627886176109314,0.0035363128221260753,0.003992314220920612,0.0035363128221260753,0.003992314220920612,0.003992314220920612,-0.0035363128221260753
test,high_score_fraud,2,2806440,1,1,0.9627528259565873,1,52,3882,3.0715558528900146,False,2.4313247036651293,0.008367707719505,1.0,1,2,1,False,1,0.0,0.8571428571428572,0.0,0.1426555740711628,0.6030303239822388,0.26274776458740234,0.9520962738484328,0.010656552108154527,42,42,42,epochs50_lr001_default,False,,,,False,0.1897404000046663,1797.7109375,0.2378671020269394,0.0,0.1426555740711628,0.0,0.1426555740711628,0.0,0.1426555740711628
test,high_score_fraud,3,370356,1,1,0.9486307489042614,1,603,147,5.226684093475342,False,3.435567516048552,0.0031746031746031,1.0,1,2,1,False,1,0.0,0.8571428571428572,0.0,0.16496649981529143,0.6146828532218933,0.44786500930786133,0.9218761034652619,0.026754645438999414,42,42,42,epochs50_lr001_default,False,,,,False,0.21291329999803565,1797.71484375,0.23820017278194427,0.0,0.16496649981529143,0.0,0.16496649981529143,0.0,0.16496649981529143
test,high_score_fraud,4,430401,1,1,0.9321208510461672,1,881,2008,1.584517240524292,False,1.7383971631205672,0.0059064061790095,1.0,1,2,1,False,1,0.0,0.8571428571428572,0.0,0.1665664777045046,0.5943450331687927,0.13501691818237305,0.9230634311547528,0.009057419891414398,42,42,42,epochs50_lr001_default,False,,,,False,0.20795310000539757,1797.72265625,0.23792366683483124,0.0,0.1665664777045046,0.0,0.1665664777045046,0.0,0.1665664777045046
test,high_score_fraud,5,1203925,1,1,0.9297725634148744,1,1279,2642,3.1347455978393555,False,2.4607698125330457,0.0014005602240896,1.0,1,2,1,False,1,0.0,0.8571428571428572,0.0,0.2101051318374778,0.6120947599411011,0.2681756019592285,0.9101138088968058,0.019658754518068533,42,42,42,epochs50_lr001_default,False,,,,False,0.20332309999503195,1797.7265625,0.23906747996807098,0.0,0.2101051318374778,0.0,0.2101051318374778,0.0,0.2101051318374778
test,high_score_fraud,6,2881250,1,1,0.921970714920642,4,52,3882,3.0715558528900146,False,2.4313247036651293,0.008367707719505,1.0,1,4,4,False,1,0.75,0.8571428571428572,0.05652489621500578,-0.029375760408102303,0.6054502725601196,0.26274776458740234,0.9008479083773183,0.021122806543323658,42,42,42,epochs50_lr001_default,False,,,,True,0.19635769999877084,1797.73828125,0.7251105308532715,0.0051972345719556445,-0.0032276341523803653,0.052576866728561655,0.04697735746107645,0.05652489621500578,-0.029375760408102303
test,high_score_fraud,7,2415577,1,1,0.9188123229135814,3,286,2059,4.937931537628174,True,3.301015263461794,0.0028653295128939,1.0,1,3,3,False,1,0.6666666666666667,0.8571428571428572,0.008790638580925103,0.0027541383497983185,0.6139910817146301,0.4230623245239258,0.8811385220970558,0.037673800816525604,42,42,42,epochs50_lr001_default,False,,,,False,0.20310630000312813,1797.74609375,0.6267494559288025,0.009876679787638953,-0.008790638580925103,0.008790638580925103,0.0027541383497983185,0.009876679787638953,-0.008790638580925103
test,high_score_fraud,8,1177911,1,1,0.9150722611555095,1,803,2019,0.4931696951389313,False,1.2298529629434505,0.0039599347775448,1.0,1,2,1,False,1,0.0,0.8571428571428572,0.0,0.23025040926255058,0.38417601585388184,0.041274309158325195,0.9118091883222859,0.0032630728332236902,42,42,42,epochs50_lr001_default,False,,,,False,0.1885958000057144,1797.76171875,0.23966914415359497,0.0,0.23025040926255058,0.0,0.23025040926255058,0.0,0.23025040926255058
test,high_score_fraud,9,1022243,1,1,0.9148032463050811,1,862,1875,-0.5796144604682922,False,0.7299589179595076,0.0007651109410864,1.0,1,2,1,False,1,0.0,0.8571428571428572,0.0,0.20530501696815773,0.37208637595176697,-0.050873517990112305,0.9186854780598095,-0.003882231754728349,42,42,42,epochs50_lr001_default,False,,,,False,0.2006110000074841,1797.765625,0.23845471441745758,0.0,0.20530501696815773,0.0,0.20530501696815773,0.0,0.20530501696815773
