split,cohort,target_node_id,label,predicted_class,fraud_score,sampled_event_count,meaningful_event_ranking,selected_edge_count,edge_fidelity_passed,edge_sufficiency_error,edge_comprehensiveness,edge_sparsity,edge_top_matches_leave_one_out,edge_rank_spearman,feature_fidelity_passed,feature_sufficiency_error,feature_comprehensiveness,feature_rank_spearman,feature_top_5_jaccard,joint_fidelity_passed,total_graph_effect,total_feature_effect,edge_mask_gradient_ok,feature_mask_gradient_ok,gnnexplainer_feature_top_5,direct_ablation_feature_top_5,community_risk_gnn_rank,community_risk_direct_rank,community_risk_prior_logit_delta,community_risk_prior_score_delta,gnnexplainer_top_event_type,gnnexplainer_top_event_delta,gnnexplainer_top_is_most_recent,all_sampled_events_internal
validation,high_score_fraud,2961442,1,1,0.9685918755139261,3,True,3,True,0.0,0.06606794299989105,0.0,False,-0.5,True,0.02400711085539764,0.6680807439667567,0.2786211258697027,0.6666666666666666,True,0.06606794299989105,0.4846706821512216,True,True,F11|F17|F02|F05|community-risk,F11|F17|F05|community-risk|F15,5,4,0.26274776458740234,0.009056192648102979,6,15,False,True
validation,high_score_fraud,1263449,1,1,0.956849989846424,1,False,1,True,0.0,0.17603205591372584,0.0,True,,True,0.012974122792986709,0.5884859834343388,0.4424414927261227,1.0,True,0.17603205591372584,0.418559638543056,True,True,F02|F11|F17|F05|F15,F11|F17|F02|F05|F15,7,7,0.05093121528625488,0.0021524706931972393,1,0,True,True
validation,high_score_fraud,2707134,1,1,0.9514642104177583,3,True,3,True,0.0,0.13827393379673203,0.0,False,-1.0,True,0.006933975654474289,0.24176258119520677,0.6928251121076233,0.6666666666666666,True,0.13827393379673203,0.4131738591143903,True,True,F02|community-risk|F17|F11|F15,community-risk|F11|F17|F15|F05,2,1,0.7112326622009277,0.04557298451320746,3,0,True,True
validation,high_score_fraud,822922,1,1,0.9242161806428626,1,False,1,True,0.0,0.17986841332164616,0.0,True,,True,0.024128127808318967,0.19062347631736598,0.6146300448430493,0.6666666666666666,True,0.17986841332164616,0.3859258293394946,True,True,F02|F17|F01|F11|F15,F17|F11|F01|F15|F05,7,7,0.12486839294433594,0.009222402898745985,5,0,True,True
validation,high_score_fraud,1476049,1,1,0.9227097777935074,3,True,3,True,0.0,0.1279069658696672,0.0,False,-1.0,True,0.012523108222725843,0.3042319447741063,0.915358744394619,1.0,True,0.1279069658696672,0.3886984834603202,True,True,community-risk|F01|F17|F11|F05,community-risk|F11|F01|F17|F05,1,1,0.7112325429916382,0.06843690902275068,6,0,False,True
validation,high_score_fraud,1865366,1,1,0.9216361966947723,1,False,1,True,0.0,0.1982626743783905,0.0,True,,True,0.01330231652011793,0.20281502150395203,0.7040358744394618,0.6666666666666666,True,0.1982626743783905,0.38334584539140426,True,True,F02|F17|F01|F11|F05,F17|F11|F01|F05|F10,16,13,0.017435550689697266,0.0012685398242636703,4,0,True,True
validation,high_score_fraud,910419,1,1,0.9202847035659546,1,False,1,True,0.0,0.16114403571981628,0.0,True,,True,0.013179226321058501,0.21445066497261345,0.7984865470852018,0.6666666666666666,True,0.16114403571981628,0.3819943522625866,True,True,F02|F17|F01|F11|F05,F11|F17|F01|F05|F15,8,7,0.09961438179016113,0.007620531244893702,5,0,True,True
validation,high_score_fraud,1445319,1,1,0.9163361572686555,1,False,1,True,0.0,0.20617061024123806,0.0,True,,False,0.05353355950971839,0.20149017960483873,0.9116409537166903,1.0,False,0.20617061024123806,0.3780458059652875,True,True,F17|F01|community-risk|F05|F10,F17|F01|community-risk|F05|F10,3,3,0.253298282623291,0.02157935596338645,4,0,True,True
validation,high_score_fraud,2522099,1,1,0.9147186232687491,2,True,2,True,0.0,0.20290407889074713,0.0,True,1.0,True,0.01524365952719997,0.44273396039929164,0.44560404807084125,1.0,True,0.20290407889074713,0.37642827937226686,True,True,F17|F02|F11|F05|F15,F17|F11|F15|F05|F02,8,8,0.06462597846984863,0.005178359418054002,3,0,True,True
validation,high_score_fraud,1437987,1,1,0.911099366900636,1,False,1,True,0.0,0.15476880410349447,0.0,True,,True,0.01423034837028081,0.1950336567693508,0.7620515695067265,0.6666666666666666,True,0.15476880410349447,0.372809015597268,True,True,F02|F17|F01|F11|F05,F11|F17|F01|F05|F15,8,8,0.08430647850036621,0.007069425869464352,5,0,True,True
validation,high_score_normal,1942636,0,1,0.9999874613976246,3,True,1,True,1.2030382219307967e-06,9.100711515497295e-07,0.6666666666666667,True,1.0,True,1.2538602375378183e-05,0.999955434844683,0.3519924098671727,0.6666666666666666,True,1.2676234676933795e-05,0.4551647434319207,True,True,F11|F17|F09|F15|F05,F11|F15|F05|F17|F01,7,8,0.032433509826660156,4.1333229217066503e-07,5,0,True,True
validation,high_score_normal,333139,0,1,0.9990295016713949,3,True,1,False,0.0007402341135320789,0.0,0.6666666666666667,True,1.0,True,0.00027165418341656977,0.8923587888323398,0.09641255605381166,0.1111111111111111,True,-0.0006774162324032496,0.6907441069010402,True,True,F11|F06|F03|F04|F06-missing,F11|F15|F05|F17|F09,16,30,-0.12182474136352539,-0.00011121710095074455,6,-37,False,True
validation,high_score_normal,920517,0,1,0.9954258599954626,1,False,1,True,0.0,0.33197665882371374,0.0,True,,True,0.00010707817056021529,0.3472418630083174,0.5674444691949432,0.42857142857142855,True,0.33197665882371374,0.4571355086920946,True,True,F11|F17|F06|F01|F17-missing,F11|F17|F01|F05|community-risk,19,5,0.1406688690185547,0.000687258767538057,4,0,True,True
validation,high_score_normal,945475,0,1,0.9949698204074032,2,True,1,True,0.0013669722877445167,0.0002388163380760977,0.5,True,0.9999999999999999,True,0.0006427573465694891,0.8410465169262609,-0.1336883408071749,0.1111111111111111,True,-0.001995421751284976,0.646975213427498,True,True,F11|F03|F06|F04|F07,F11|F17|F15|F05|F08-missing,19,27,-0.07645988464355469,-0.00036854506874184345,4,-397,False,True
validation,high_score_normal,1333573,0,1,0.9899544288781194,1,False,1,True,0.0,0.3422646852758148,0.0,True,,True,8.742849359866245e-05,0.374561728576978,0.5014013452914798,0.6666666666666666,True,0.3422646852758148,0.45166407757475135,True,True,F11|F17|F01|F06|F15,F11|F17|F01|F15|F05,30,24,-0.021309375762939453,-0.0002097169348611594,5,0,True,True
validation,high_score_normal,1193243,0,1,0.9883454240334643,1,False,1,True,0.0,0.29685052370057874,0.0,True,,True,0.009964884759205872,0.5202093613581151,0.5350336322869956,0.6666666666666666,True,0.29685052370057874,0.45005507273009626,True,True,F11|F17|F02|F01|F15,F11|F17|F01|F05|F15,13,7,0.07237100601196289,0.0008637738615439039,5,0,True,True
validation,high_score_normal,759199,0,1,0.9833325924276823,1,False,1,True,0.0,0.27751616497972764,0.0,True,,True,0.014692773673565918,0.6149446628228641,0.39461883408071746,0.42857142857142855,True,0.27751616497972764,0.629819287658668,True,True,F11|F02|F01|F17|F06,F11|F01|F17|F15|F07,21,32,-0.06867074966430664,-0.0010889165635612486,4,-419,True,True
validation,high_score_normal,2948849,0,1,0.9782028770740253,1,False,1,True,0.0,0.07989973831049768,0.0,True,,True,0.01882967174752237,0.7448106933465466,0.23908918406072108,0.6666666666666666,True,0.07989973831049768,0.5529347556491822,True,True,F11|F17|F02|F05|community-risk,F11|F17|community-risk|F05|F15,5,3,0.26274776458740234,0.006365540309890116,10,-273,True,True
validation,high_score_normal,2795031,0,1,0.9769022753625459,1,False,1,True,0.0,0.09571429581728097,0.0,True,,True,0.02132693279585296,0.8702877345720952,0.2976827094474153,0.6666666666666666,True,0.09571429581728097,0.523191278462064,True,True,F11|F17|F02|F05|community-risk,F11|F17|community-risk|F05|F15,5,3,0.26274776458740234,0.0067337794270784235,10,-214,True,True
validation,high_score_normal,131031,0,1,0.9768028702872041,1,False,1,True,0.0,0.2172167363433296,0.0,True,,True,0.013398815926268126,0.39960142155938294,0.782230941704036,1.0,True,0.2172167363433296,0.43851251898383614,True,True,F11|F02|F17|F01|F15,F11|F17|F01|F15|F02,8,8,0.10205221176147461,0.002428462158972744,5,0,True,True
validation,low_score_fraud,2636796,1,0,0.009813944913441366,1,False,1,True,0.0,0.0020168897541987807,0.0,True,,True,0.00901543070350419,0.5107019058050779,0.5622197309417041,0.6666666666666666,True,0.0020168897541987807,0.39966157793582424,True,True,F03|F07|F09|F10|F13,F03|F07|F10|F09|F02,25,27,0.017435550689697266,0.0001679922259975094,9,-305,True,True
validation,low_score_fraud,675905,1,0,0.020882426771088012,5,True,1,True,0.0003762519394365782,0.00013143258040915207,0.8,False,0.0,True,0.016555756837100644,0.6080795427601622,0.27158071748878926,0.6666666666666666,True,-0.005434147903429665,0.49508401023684634,True,True,F03|F07|F08|F10|F04,F03|F07|F08|F10|F02,6,6,-0.14730024337768555,-0.0032341545364137983,5,0,False,True
validation,low_score_fraud,2122757,1,0,0.02865973042470185,3,True,1,True,0.0012108881718848608,0.04107407883240588,0.6666666666666667,True,1.0,True,0.0269532957171561,0.48822002535754716,0.6523809523809524,1.0,True,0.03391259959863846,0.3006167953119243,True,True,F03|F07|F12|F08|F10,F03|F07|F12|F08|F10,6,6,-0.13529014587402344,-0.004016236575442103,3,-707,True,True
validation,low_score_fraud,740442,1,0,0.03263094682410137,2,True,1,True,0.013260257774236117,0.03620232538933321,0.5,True,0.9999999999999999,True,0.03215266619782142,0.7569061600242575,0.39293721973094176,1.0,True,0.022566002018287734,0.29277507734866004,True,True,F07|F03|F08|F06|F10,F03|F07|F08|F06|F10,20,29,0.08853435516357422,0.002681963842059116,6,-606,True,True
validation,low_score_fraud,2287558,1,0,0.03637486867393743,8,True,1,True,0.027921714535616315,0.000885867483883862,0.875,False,0.7831325301204818,True,0.02527313863229841,0.2768474606609427,0.8144618834080718,1.0,True,0.06679164482485833,0.3101806140953822,True,True,F03|F07|F10|F12|F08,F03|F07|F10|F12|F08,7,7,-0.10598087310791016,-0.003902933494409365,5,-220,False,True
validation,low_score_fraud,1564995,1,0,0.051528328231145816,1,False,1,False,0.0,-0.014587849218782756,0.0,True,,True,0.03301978578635767,0.5623268347076376,0.2495356037151703,0.42857142857142855,True,-0.014587849218782756,0.4312151643089628,True,True,F03|F07|F10|F04|F14,F03|F07|F10|F02|F12,17,27,0.008263587951660156,0.0004023741705828851,9,-150,True,True
validation,low_score_fraud,52719,1,0,0.057132294754378865,3,True,1,True,0.008049956732010588,0.0908618047882418,0.6666666666666667,True,1.0,False,0.05527057012723735,0.47448146584635753,0.26806722689075635,1.0,False,0.03244986080090073,0.2943476840942998,True,True,F07|F03|F08|F12|F10,F03|F07|F08|F12|F10,24,28,0.037629127502441406,0.0019935559147288423,4,-628,False,True
validation,low_score_fraud,2805025,1,0,0.07388245167319989,7,True,2,True,0.011482124986107012,0.08288558410671831,0.7142857142857143,False,0.3571428571428572,False,0.0514569429677747,0.33627649494390177,0.6064425770308124,0.6666666666666666,False,0.05630284191769175,0.2853119665635099,True,True,F03|F07|F12|F10|F08,F03|F07|F12|F10|F02,10,12,-0.015401840209960938,-0.001060793988588396,5,-643,True,True
validation,low_score_fraud,2165937,1,0,0.07507944075137418,4,True,1,True,0.006465805229299182,0.01083737512781957,0.75,True,1.0,False,0.06378690630083039,0.5274551228583074,0.1743273542600897,0.6666666666666666,False,-0.003660193181035054,0.3996513410625382,True,True,F03|F07|F10|F04|community-risk,F03|F07|F10|community-risk|F16-missing,5,4,-0.09733104705810547,-0.007044707233188036,6,-349,False,True
