source,target,edge_type,timestamp
2798159,2820054,5,220
2821758,2804442,9,226
1979681,1490390,11,204
2333690,1490390,11,205
2764256,2761962,4,200
1207890,2804442,9,274
2761962,2760969,4,201
2798159,1490390,11,213
2820815,2820054,1,220
2820054,1490390,11,221
2821758,985864,10,226
2820815,1490390,11,221
2813126,985864,10,226
2813126,2804442,9,226
2764256,2760969,5,200
2321815,1490390,11,261
1322713,1490390,11,205
2760969,2761962,1,199
1678071,2820054,4,664
1341345,2804442,9,274
2804442,985864,10,237
2821758,1490390,11,222
2760969,1490390,11,200
2821758,1055722,5,221
2820054,2820815,1,220
2761962,2766571,4,201
2760969,2766571,5,201
